,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,N/A,N/A,a,N/A,N/A,N/A,N/A,N/A,39.10,38.49,2.06,3.41,5.44,12.66,6.10,1.5,20.97,14500000000.0,14160000000.0,22.04,1.99,2.02,11.40,2.02,3590000000.0,1.5,485000000.0,1.12,63.10,1.80,2120000000.0,6.31,1660000000.0,3.94,12.62,43.19,1.5,0.26,85.00,2420000.0,1.20,0.80,2730000.0,N/A
1,N/A,N/A,aapl,N/A,N/A,N/A,N/A,N/A,29.52,17.28,3.64,5.89,22.25,29.67,15.22,1.5,33.42,743240000000.0,744060000000.0,13.63,1.10,3.72,11.00,3.72,70540000000.0,1.5,44460000000.0,7.39,37.90,29.50,32659999999.999996,5.61,36400000000.0,1.13,21.17,127.60,1.5,0.05,62.10,64709999.99999999,1.30,1.10,65739999.99999999,N/A
2,N/A,N/A,abt,N/A,N/A,N/A,N/A,N/A,36.25,31.32,3.45,3.24,11.28,14.26,4.29,1.5,13.36,70360000000.0,74530000000.0,19.43,2.26,3.68,16.95,3.68,11030000000.0,1.5,1710000000.0,1.49,53.50,5.50,4460000000.0,2.96,7840000000.0,1.45,14.27,46.63,1.5,0.20,68.80,12350000.0,2.40,0.80,13690000.0,N/A
3,N/A,N/A,ace,N/A,N/A,N/A,N/A,N/A,25.51,13.20,1.88,1.22,14.88,18.52,2.30,1.5,57.13,36390000000.0,40940000000.0,11.64,1.93,2.13,11.19,2.13,5930000000.0,1.5,2850000000.0,8.42,44.40,6.90,3240000000.0,9.89,7550000000.0,0.44,90.02,111.16,1.5,0.65,92.30,2950000.0,2.20,0.90,3640000.0,N/A
4,N/A,N/A,acn,N/A,N/A,N/A,N/A,N/A,0.42,19.79,1.87,9.66,9.84,14.46,16.74,1.5,49.03,58410000000.0,55260000000.0,18.11,1.99,1.79,11.29,1.79,9680000000.0,1.5,3040000000.0,4.71,2.90,5.10,4059999999.9999995,6.49,27220000.0,1.47,9.56,93.27,1.5,0.32,83.30,16920000.0,5.40,2.70,18320000.0,N/A
5,N/A,N/A,adbe,N/A,N/A,N/A,N/A,N/A,28.86,121.18,8.60,5.55,7.20,12.40,3.11,1.5,8.54,36980000000.0,37010000000.0,23.03,3.10,8.70,43.88,8.70,3520000000.0,1.5,306240000.0,0.61,80.40,10.90,3180000000.0,6.35,1900000000.0,2.22,13.18,73.92,1.5,5.31,86.60,3930000.0,1.40,0.80,3670000.0,N/A
6,N/A,N/A,adi,N/A,N/A,N/A,N/A,N/A,18.95,30.78,6.57,4.11,21.79,30.11,8.57,1.5,9.61,19860000000.0,18060000000.0,19.73,1.98,6.00,16.77,6.00,1830000000.0,1.5,655490000.0,2.07,17.20,22.90,2870000000.0,9.22,911030000.0,6.01,15.42,63.72,1.5,0.91,85.60,5910000.0,2.40,1.90,5180000.0,N/A
7,N/A,N/A,adm,N/A,N/A,N/A,N/A,N/A,28.99,14.08,0.38,1.57,2.77,3.52,4.07,1.5,124.35,30640000000.0,34500000000.0,13.38,2.05,0.43,9.19,0.43,4770000000.0,1.5,2250000000.0,3.43,87.40,13.50,1610000000.0,2.55,5690000000.0,1.67,30.73,48.30,1.5,2.11,76.20,9480000.0,2.60,1.50,9520000.0,N/A
8,N/A,N/A,adp,N/A,N/A,N/A,N/A,N/A,0.19,28.49,3.15,7.26,11.42,18.36,3.53,1.5,26.33,40290000000.0,39080000000.0,25.62,2.92,3.11,14.73,3.11,4990000000.0,1.5,1560000000.0,2.98,12.10,6.70,1950000000.0,4.11,10300000.0,1.06,11.51,84.80,1.5,0.14,76.10,4210000.0,2.20,0.90,5030000.0,N/A
9,N/A,N/A,adsk,N/A,N/A,N/A,N/A,N/A,33.67,174.40,5.46,6.17,3.26,4.93,1.63,1.5,11.06,13870000000.0,12980000000.0,42.69,6.53,5.17,48.11,5.17,2170000000.0,1.5,81800000.0,0.35,78.70,13.30,2029999999.9999998,8.92,747200000.0,1.91,9.78,61.04,1.5,0.31,90.40,4230000.0,1.90,1.90,3730000.0,N/A
10,N/A,N/A,adt,N/A,N/A,N/A,N/A,N/A,170.33,24.17,2.01,2.26,8.65,21.07,4.43,1.5,19.58,6960000000.0,12360000000.0,18.32,2.99,3.58,6.92,3.58,1950000000.0,1.5,299000000.0,1.68,6.50,5.70,70000000.0,0.41,5260000000.0,0.67,17.98,40.68,1.5,0.26,111.50,35640000.0,15.30,24.90,36370000.0,N/A
11,N/A,N/A,aee,N/A,N/A,N/A,N/A,N/A,101.44,17.38,1.71,1.49,10.04,21.48,3.59,1.5,24.06,10110000000.0,17360000000.0,15.37,2.38,2.97,8.49,2.97,2470000000.0,1.5,587000000.0,2.40,29.70,3.90,5000000.0,0.02,6950000000.0,0.91,27.67,41.65,1.5,0.16,64.50,4710000.0,2.50,1.90,4900000.0,N/A
12,N/A,N/A,aep,N/A,N/A,N/A,N/A,N/A,122.34,16.96,1.60,1.62,9.60,19.16,3.51,1.5,34.84,27710000000.0,47970000000.0,15.35,3.05,2.82,9.57,2.82,9300000000.0,1.5,1630000000.0,3.34,44.80,6.70,269000000.0,0.55,20580000000.0,0.56,34.37,56.63,1.5,0.06,66.90,3310000.0,1.20,0.70,3880000.0,N/A
13,N/A,N/A,aet,N/A,N/A,N/A,N/A,N/A,66.04,18.88,0.65,2.60,3.52,7.08,4.98,1.5,163.16,37400000000.0,43350000000.0,13.32,1.60,0.75,9.15,0.75,15090000000.0,1.5,2040000000.0,5.68,37.10,12.10,3890000000.0,11.16,9610000000.0,0.76,41.40,107.25,1.5,0.41,91.60,3690000.0,1.50,1.10,4300000.0,N/A
14,N/A,N/A,afl,N/A,N/A,N/A,N/A,N/A,41.61,9.92,1.24,1.54,13.05,20.74,2.43,1.5,50.11,28290000000.0,31300000000.0,10.05,2.83,1.38,6.60,1.38,8359999999.999999,1.5,2950000000.0,6.50,4.10,4.70,4660000000.0,10.61,7640000000.0,0.37,41.47,64.45,1.5,2.97,64.90,6940000.0,3.20,1.60,6040000.0,N/A
15,N/A,N/A,aig,N/A,N/A,N/A,N/A,N/A,29.10,11.05,1.24,0.74,11.84,18.06,1.36,1.5,44.53,78930000000.0,95880000000.0,10.36,1.27,1.51,6.02,1.51,30800000000.0,1.5,7580000000.0,5.21,66.90,10.10,13000000000.0,9.47,31220000000.0,2.08,77.69,57.51,1.5,0.06,86.20,13440000.0,1.80,1.00,16190000.000000002,N/A
16,N/A,N/A,aiv,N/A,N/A,N/A,N/A,N/A,270.61,18.24,6.15,5.26,32.48,27.67,2.70,1.5,6.54,5880000000.0,10750000000.0,16.14,2.43,11.29,19.74,11.29,603740000.0,1.5,11580000.0,2.06,68.10,4.10,28970000.0,0.19,4139999999.9999995,0.35,7.12,37.60,1.5,0.96,101.50,2910000.0,2.90,2.50,3600000.0,N/A
17,N/A,N/A,aiz,N/A,N/A,N/A,N/A,N/A,24.46,9.51,0.40,0.81,4.54,7.73,1.64,1.5,143.83,4219999999.9999995,3860000000.0,9.13,1.33,0.37,4.13,0.37,2290000000.0,1.5,470910000.0,6.44,54.30,9.30,1660000000.0,24.16,1270000000.0,0.77,74.77,61.25,1.5,1.32,98.90,1580000.0,2.90,2.30,2060000.0,N/A
18,N/A,N/A,akam,N/A,N/A,N/A,N/A,N/A,20.54,39.92,6.55,4.35,17.00,25.20,8.89,1.5,11.02,13140000000.0,12620000000.0,23.17,1.77,6.43,18.45,6.43,1350000000.0,1.5,333950000.0,1.84,20.90,23.00,758290000.0,4.24,604850000.0,3.78,16.52,73.46,1.5,3.21,87.60,5420000.0,3.80,3.10,4780000.0,N/A
19,N/A,N/A,altr,N/A,N/A,N/A,N/A,N/A,45.43,28.39,6.86,4.05,24.46,28.12,5.82,1.5,6.24,12990000000.0,12310000000.0,22.36,2.28,6.37,20.20,6.37,1280000000.0,1.5,472660000.0,1.52,12.30,5.60,2580000000.0,8.57,1490000000.0,5.72,10.87,43.16,1.5,0.32,92.50,8990000.0,1.90,3.00,9820000.0,N/A
20,N/A,N/A,amat,N/A,N/A,N/A,N/A,N/A,24.12,23.15,2.86,3.27,12.63,16.99,7.77,1.5,7.58,26740000000.0,26510000000.0,14.13,1.37,2.87,13.64,2.87,3840000000.0,1.5,1170000000.0,0.94,37.50,7.70,3090000000.0,2.51,1950000000.0,2.75,6.57,21.76,1.5,0.23,90.70,77950000.0,4.80,6.40,80450000.0,N/A
21,N/A,N/A,amgn,N/A,N/A,N/A,N/A,N/A,119.15,24.77,6.19,4.83,25.71,34.21,6.35,1.5,26.43,125950000000.0,127670000000.0,15.85,1.61,6.36,14.34,6.36,15640000000.0,1.5,5160000000.0,6.70,26.70,6.40,27030000000.0,35.61,30720000000.0,4.95,33.90,165.97,1.5,0.10,82.20,10320000.0,3.10,1.60,10200000.0,N/A
22,N/A,N/A,amp,N/A,N/A,N/A,N/A,N/A,121.06,15.73,1.92,2.91,13.17,29.41,1.54,1.5,64.18,23830000000.0,29010000000.0,11.73,0.87,2.36,7.50,2.36,10310000000.0,1.5,1620000000.0,8.30,43.60,4.80,4980000000.0,27.30,11260000000.0,2.18,44.37,130.55,1.5,0.36,89.60,2830000.0,3.20,1.60,2920000.0,N/A
23,N/A,N/A,amt,N/A,N/A,N/A,N/A,N/A,360.41,47.92,9.30,9.64,20.12,37.87,4.66,1.5,10.36,38020000000.0,52010000000.0,17.30,1.42,12.69,20.34,12.69,3010000000.0,1.5,801020000.0,2.00,80.40,11.10,313490000.0,0.79,14610000000.0,0.49,9.97,95.84,1.5,0.11,96.70,5710000.0,2.10,1.40,6340000.0,N/A
24,N/A,N/A,an,N/A,N/A,N/A,N/A,N/A,252.19,18.32,0.38,3.47,2.19,4.23,6.19,1.5,162.91,7330000000.0,12590000000.0,14.56,1.11,0.66,13.75,0.66,2990000000.0,1.5,419800000.0,3.52,6.70,11.60,75400000.0,0.66,5230000000.0,1.03,18.29,64.51,1.5,34.46,3.30,1650000.0,2.10,2.30,1910000.0,N/A
25,N/A,N/A,anf,N/A,N/A,N/A,N/A,N/A,24.75,31.42,0.41,1.10,1.38,4.90,4.28,1.5,52.16,1550000000.0,1330000000.0,18.59,1.51,0.36,3.25,0.36,2310000000.0,1.5,51820000.0,0.71,32.90,13.80,520710000.00000006,7.49,343930000.0,2.40,20.04,22.31,1.5,2.14,108.80,23940000.0,5.30,45.20,23350000.0,N/A
