Market Return,Strategy Return
11391.0,12997.0
21988.0,28426.0
33236.0,38368.0
44964.0,51203.0
56910.0,62680.0
67737.0,78206.0
79883.0,84093.0
90485.0,93683.0
100586.0,109920.0
112601.0,119116.0
124255.0,135151.0
135602.0,148782.0
147481.0,160140.0
159296.0,174630.0
170038.0,181540.0
181901.0,201370.0
194535.0,215435.0
205569.0,227307.0
217324.0,237653.0
227536.0,248900.0
238313.0,259675.0
248931.0,269675.0
260810.0,280362.0
271252.0,290852.0
283257.0,303430.0
294506.0,313525.0
305636.0,326567.0
317403.0,338037.0
329118.0,350516.0
340060.0,360969.0
350780.0,370969.0
362960.0,387061.0
373953.0,397193.0
384624.0,407187.0
395108.0,419852.0
405537.0,431030.0
415812.0,444570.0
427223.0,459474.0
438705.0,468729.0
449997.0,479139.0
461135.0,490061.0
472009.0,499853.0
482698.0,511355.0
493538.0,522839.0
506172.0,532121.0
517464.0,543901.0
529281.0,557859.0
541160.0,570609.0
552875.0,582732.0
563030.0,592776.0
574377.0,604046.0
584917.0,615811.0
596243.0,624722.0
606883.0,638780.0
618676.0,649925.0
628471.0,660286.0
640079.0,671445.0
650834.0,682932.0
661367.0,692659.0
672090.0,702140.0
684899.0,712001.0
696199.0,724709.0
707687.0,735013.0
719882.0,750178.0
730484.0,760280.0
741592.0,770280.0
750080.0,780280.0
762978.0,795761.0
773500.0,805409.0
785529.0,819463.0
796114.0,829827.0
806759.0,839956.0
817343.0,849219.0
829109.0,861471.0
840211.0,870449.0
851558.0,882743.0
862836.0,893234.0
873993.0,907594.0
886188.0,922038.0
898520.0,936933.0
909945.0,944402.0
920493.0,955535.0
931376.0,964419.0
941966.0,975600.0
953995.0,988808.0
965502.0,1000391.0
976160.0,1009863.0
987452.0,1019464.0
998277.0,1030613.0
1009153.0,1039523.0
1019876.0,1050999.0
1032510.0,1061224.0
1043788.0,1068643.0
1054636.0,1082274.0
1065619.0,1091498.0
1077416.0,1096420.0
1088388.0,1104059.0
1100267.0,1117116.0
1111398.0,1127345.0
1122054.0,1139065.0
1133041.0,1148457.0
1144930.0,1158457.0
1157018.0,1171222.0
1168897.0,1188057.0
1180985.0,1198940.0
1191833.0,1208840.0
1202937.0,1220099.0
1213690.0,1229587.0
1224257.0,1244943.0
1235817.0,1259974.0
1246537.0,1268098.0
1258025.0,1278917.0
1269639.0,1290604.0
1281179.0,1301624.0
1292793.0,1310899.0
1304071.0,1322566.0
1314073.0,1329115.0
1325041.0,1337642.0
1335423.0,1348193.0
1348527.0,1358742.0
1359691.0,1361653.0
1370031.0,1370251.0
1382560.0,1381683.0
1393144.0,1395298.0
1403845.0,1414208.0
1414685.0,1425607.0
1425317.0,1436651.0
1436298.0,1447811.0
1447958.0,1465686.0
1459349.0,1479300.0
1469768.0,1487566.0
1480565.0,1498084.0
1491706.0,1509129.0
1503434.0,1519343.0
1514106.0,1534148.0
1526344.0,1550330.0
1538563.0,1561754.0
1549841.0,1572237.0
1560932.0,1583293.0
1571592.0,1593670.0
1582522.0,1603659.0
1593223.0,1615155.0
1604073.0,1630482.0
1615399.0,1640562.0
1627444.0,1651736.0
1638095.0,1667175.0
1649879.0,1677693.0
1660580.0,1690615.0
1672322.0,1702995.0
1684077.0,1716678.0
1696189.0,1728634.0
1706489.0,1744609.0
1718518.0,1757644.0
1729881.0,1770282.0
1741076.0,1782283.0
1753460.0,1795522.0
1764942.0,1807118.0
1776078.0,1818372.0
1787738.0,1834614.0
1798439.0,1844423.0
1809231.0,1855227.0
1820157.0,1863424.0
1831548.0,1873858.0
1843932.0,1884791.0
1854427.0,1896429.0
1867346.0,1908227.0
1880014.0,1920038.0
1890175.0,1931031.0
1901829.0,1941253.0
1913720.0,1955170.0
1924416.0,1966444.0
1934915.0,1983863.0
1946670.0,1999962.0
1958625.0,2009962.0
1969587.0,2018832.0
1980435.0,2031891.0
1991037.0,2042598.0
2001887.0,2050585.0
2013766.0,2062520.0
2024356.0,2071827.0
2037219.0,2082931.0
2047858.0,2090202.0
2058503.0,2103419.0
2070018.0,2113722.0
2082047.0,2126524.0
2094557.0,2139030.0
2106505.0,2150751.0
2117326.0,2170377.0
2127906.0,2180377.0
2139394.0,2193861.0
2152168.0,2205467.0
2163899.0,2218281.0
2175513.0,2227147.0
2186891.0,2239059.0
2199489.0,2253555.0
2211424.0,2265088.0
2223038.0,2278008.0
2233729.0,2290235.0
2245320.0,2302940.0
2257117.0,2326811.0
2267218.0,2336811.0
2278284.0,2351440.0
2289781.0,2363076.0
2301811.0,2376662.0
2312483.0,2382420.0
2323761.0,2393986.0
2334495.0,2405660.0
2346155.0,2421175.0
2357533.0,2433019.0
2368047.0,2451308.0
2379147.0,2461600.0
2389120.0,2469311.0
2401149.0,2479503.0
2412090.0,2486053.0
2423969.0,2498742.0
2435071.0,2510694.0
2445921.0,2520438.0
2457676.0,2531399.0
2467841.0,2544731.0
2479501.0,2556852.0
2491256.0,2570482.0
2503044.0,2581600.0
2515239.0,2590203.0
2527059.0,2612263.0
2538042.0,2624874.0
2549921.0,2635067.0
2561144.0,2645067.0
2571899.0,2656689.0
2584282.0,2666689.0
2595690.0,2680337.0
2606671.0,2693698.0
2617113.0,2700506.0
2627773.0,2715469.0
2639177.0,2726932.0
2651635.0,2739540.0
2663249.0,2751361.0
2674746.0,2764389.0
2686213.0,2776368.0
2697317.0,2788833.0
2709468.0,2800639.0
2719722.0,2807180.0
2730570.0,2827157.0
